-1099, -108, 263
-1059, -125, 253
-1022, -159, 174
-1039, -184, 263
-1035, -163, 245
-1021, -161, 271
-1017, -149, 288
-1048, -108, 325
-1064, -58, 336
-1052, -63, 361
-1036, -46, 338
-1047, 5, 307
-1052, 24, 308
-1067, 65, 281
-1067, 65, 281
-1083, 104, 263
-1088, 138, 233
-1089, 153, 242
-1092, 171, 248
-1102, 203, 290
-1065, 184, 288
-1035, 165, 269
-1011, 161, 233
-999, 147, 254
-1015, 144, 327
-986, 102, 318
-952, 53, 278
-953, 5, 297
-953, 5, 297
-942, -21, 309
-942, -30, 336
-928, -55, 382
-924, -45, 361
-962, -12, 337
-977, -20, 346
-981, -33, 372
-981, -33, 372
-970, -48, 398
-976, -59, 405
-982, -63, 408
-968, -77, 411
-965, -74, 413
-951, -80, 380
-947, -105, 371
-960, -112, 375
-964, -123, 410
-936, -153, 433
-938, -121, 440
-938, -121, 440
-954, -79, 437
-938, -78, 388
-939, -71, 346
-966, -51, 391
-991, -18, 413
-984, -18, 411
-944, -73, 413
-926, -95, 390
-947, -88, 415
-956, -92, 437
-956, -92, 437
-915, -123, 423
-881, -164, 406
-896, -167, 404
-913, -165, 393
-915, -172, 389
-898, -185, 387
-896, -210, 386
-903, -231, 401
-908, -239, 408
-920, -232, 426
-928, -236, 430
-907, -245, 393
-899, -249, 369
-929, -229, 419
-951, -215, 447
-955, -216, 471
-944, -227, 462
-943, -226, 458
-,-,-
-780, -384, 11
-768, -418, -62
-819, -385, 30
-776, -429, 53
-748, -450, 37
-745, -435, 44
-747, -448, 94
-759, -429, 110
-845, -283, 56
-845, -283, 56
-876, -278, 80
-868, -329, 102
-840, -412, 77
-870, -391, 105
-898, -343, 178
-903, -325, 187
-914, -306, 113
-932, -300, 99
-1010, -223, 204
-1039, -147, 246
-1002, -118, 189
-944, -207, 216
-898, -291, 197
-932, -245, 205
-1054, -108, 255
-1107, -38, 318
-1097, -44, 324
-1012, -123, 276
-1053, -66, 214
-1205, 91, 287
-1205, 91, 287
-1235, 115, 378
-1140, 45, 306
-1050, -25, 250
-1054, -7, 259
-1134, 86, 295
-1179, 137, 328
-1166, 156, 317
-1094, 117, 313
-1078, 122, 292
-1084, 118, 302
-1073, 60, 342
-1027, 2, 323
-994, -30, 314
-994, -30, 314
-987, -43, 356
-988, -40, 404
-991, -49, 424
-965, -81, 410
-950, -120, 369
-979, -127, 394
-1005, -101, 414
-984, -124, 436
-971, -162, 462
-960, -173, 429
-937, -193, 394
-923, -183, 373
-920, -189, 379
-904, -226, 397
-904, -226, 397
-916, -216, 372
-937, -207, 374
-958, -186, 399
-961, -190, 432
-958, -208, 421
-949, -217, 401
-951, -198, 395
-937, -211, 387
-917, -242, 368
-935, -231, 368
-944, -217, 362
-927, -232, 338
-917, -227, 309
-920, -202, 311
-937, -195, 333
-955, -186, 329
-959, -185, 324
-944, -198, 337
-931, -223, 353
-929, -228, 348
-921, -237, 344
-921, -237, 344
-921, -220, 339
-916, -229, 355
-914, -256, 373
-921, -262, 387
-941, -243, 392
-932, -251, 386
-906, -293, 369
-902, -320, 383
-894, -340, 386
-896, -338, 374
-897, -340, 392
-898, -354, 402
-880, -365, 368
-,-,-
-842, -283, 2
-812, -302, 53
-807, -308, -56
-813, -397, -41
-850, -394, -71
-842, -407, -184
-874, -353, -10
